figure,n,type,statistical_test,min,max,q1,median,q3,lower_whisker,upper_whisker
1e,3,Intratumoral,one-sided,-0.0956055670575586,0.0629645589270606,-0.0427224943056785,-0.0300278764261079,-0.0170553144631011,-0.0812232640695446,0.0214454553007649
1e,3,Peritumoral,one-sided,-0.1031356648332291,0.0354563209423315,-0.0563655136661766,-0.0416110729473701,-0.0283942105836942,-0.0983224682899002,0.0135627440400292
Supplementary Figure 3,3,Intratumoral,one-sided,-0.0152042020645491,0.1538217561072588,0.0419237380644608,0.0705501812752887,0.0957762931452683,-0.0152042020645491,0.1538217561072588
Supplementary Figure 3,3,Peritumoral,one-sided,-0.0093009360018935,0.1796128996765316,0.0328054092704283,0.0514525960313552,0.0826433403574398,-0.0093009360018935,0.1574002369879572
4m,1,High NaCl,one-sided,0.0,4.418445507040767,0.6743345527810798,1.1465709909085873,1.700539655468827,0.0,3.239847309500448
4m,1,Low NaCl,one-sided,0.0,4.229485628733372,0.5892482533144493,1.021856100915911,1.4576163180354071,0.0,2.760168415116844
Supplementary Figure 10a (1),1,High NaCl,one-sided,0.0,3.0409580069311803,0.0,0.4427971885215424,0.9352333497235304,0.0,2.338083374308826
Supplementary Figure 10a (1),1,Low NaCl,one-sided,0.0,3.2719356739208627,0.0,0.2282300442489827,0.7109679589479359,0.0,1.7774198973698396
4o,1,High NaCl,one-sided,0.0,4.325811586084944,1.6872378539800343,2.218847041349385,2.5558137233088423,0.3843740499868224,3.858677527302054
4o,1,Low NaCl,one-sided,0.0,4.005136416735674,1.6521440807925372,2.0961040272741838,2.424883869957738,0.4930343970447357,3.58399355370554
Supplementary Figure 10a (2),1,High NaCl,one-sided,0.0,3.1819914104654794,0.0,0.2322251786752842,0.7173405242478819,0.0,1.7933513106197048
Supplementary Figure 10a (2),1,Low NaCl,one-sided,0.0,3.419105977488495,0.0,0.2238248370723553,0.6158975030935074,0.0,1.5397437577337687
Supplementary Figure 10a (3),1,High NaCl,one-sided,0.0,3.284428733704385,0.0,0.6355707502022575,1.141594512523481,0.0,2.8539862813087025
Supplementary Figure 10a (3),1,Low NaCl,one-sided,0.0,2.992697369858837,0.0,0.0,0.6384931823897959,0.0,1.59623295597449
3e,1,High NaCl,one-sided,-0.1026154118888884,0.936408809596473,0.2832196340669491,0.3859191356545769,0.4706260923824832,0.0021099465936479,0.7517357798557843
3e,1,Low NaCl,one-sided,-0.0834969724812377,0.8718673004552717,0.2945883032185091,0.3818026522018692,0.4505390118885253,0.0606622402134847,0.6844650748935497
Extended data 10c,1,High NaCl,one-sided,-0.3216836339624319,2.076029176557013,0.6737188305858702,0.902358967400223,1.1011264427608487,0.0326074123234024,1.7422378610233165
Extended data 10c,1,Low NaCl,one-sided,-0.2065022147508952,2.4283987680796777,0.5554647971245023,0.7749217742794323,0.9547154844453016,-0.0434112338566966,1.5535915154265003
Supplementary Figure 10d (1),1,High NaCl,one-sided,0.0207374475518778,0.6655736372603029,0.3192856929886385,0.3588464040370316,0.392002789178676,0.2102100487035822,0.5010784334637324
Supplementary Figure 10d (1),1,Low NaCl,one-sided,0.0257972620351057,0.6016532052884838,0.295140474578241,0.3325699429801581,0.3634053788037341,0.1927431182400013,0.4658027351419737
Supplementary Figure 10d (2),1,High NaCl,one-sided,0.0698316089030528,0.7725438809759775,0.4432061040115245,0.5308684932913328,0.596623229261918,0.2130804161359342,0.7725438809759775
Supplementary Figure 10d (2),1,Low NaCl,one-sided,0.0175723665575922,0.7230331335909148,0.415295208506234,0.4810856942308282,0.5319848531313551,0.2402607415685523,0.7070193200690368
Supplementary Figure 10d (3),1,High NaCl,one-sided,0.0705475259602895,0.709878709681141,0.4254981887505531,0.4760615374422176,0.521937502241429,0.2808392185142393,0.6665964724777428
Supplementary Figure 10d (3),1,Low NaCl,one-sided,0.0282899859053134,0.7168414767227265,0.3602365468310159,0.4098795754262362,0.4559246095880476,0.2167044526954683,0.5994567037235953
Supplementary Figure 10e (1),1,High NaCl,one-sided,-0.0031951751400147,0.307885169321568,0.1115899131898156,0.1326256681125318,0.1568702964101712,0.0436693383592824,0.2247908712407044
Supplementary Figure 10e (1),1,Low NaCl,one-sided,-0.0121445207659775,0.3078211329554063,0.0812494820260771,0.1002431449844277,0.1218709178016859,0.0203173283626639,0.1828030714650992
Supplementary Figure 10e (2),1,High NaCl,one-sided,-0.0873858537107675,0.3162140827348998,-0.0254849341072943,-0.0123346488733234,0.0144731449959946,-0.0854220527622278,0.0744102636509282
Supplementary Figure 10e (2),1,Low NaCl,one-sided,-0.0648955425628442,0.2608470426539206,-0.0237980045216032,-0.0170513583656234,-0.0045661089748907,-0.0526458478416718,0.0242817343451779
Supplementary Figure 10f,1,High NaCl,one-sided,0.0136225659647176,0.958755316509532,0.4204776927598389,0.4863063345901267,0.5557533448961566,0.2175642145553624,0.758666823100633
Supplementary Figure 10f,1,Low NaCl,one-sided,-0.0358783304039761,0.8807184497594205,0.3143937751611135,0.3806936949709757,0.4466755673647782,0.1159710868556164,0.6450982556702752
Supplementary Figure 10g,1,High NaCl,one-sided,-0.1579760166617679,0.433097868266479,-0.0517605641566941,-0.0209047207223509,0.0226370863265437,-0.1579760166617679,0.1342335620514006
Supplementary Figure 10g,1,Low NaCl,one-sided,-0.1218468916562125,0.5100625147062504,-0.0546341625541796,-0.0287866617536833,0.0072531094021588,-0.1218468916562125,0.1000840173366666
3d,1,High NaCl,one-sided,-0.0533393200743896,0.6292161921719545,0.1811992605896296,0.2442960788464376,0.2975152462976499,0.0067252820275992,0.4719892248596803
3d,1,Low NaCl,one-sided,-0.0847024152604003,0.4547765505071988,0.1100980283890968,0.1716760807423359,0.2335216502492518,-0.0750374044011356,0.4186570830394843
Supplementary Figure 10h (1),1,High NaCl,one-sided,-0.1109335210322597,0.7194345149787527,0.2411077955225216,0.3220644630245416,0.3884706146486014,0.0200635668334019,0.6095148433377211
Supplementary Figure 10h (1),1,Low NaCl,one-sided,-0.1139075938299191,0.6582548766451392,0.2256328048371138,0.2979573332846762,0.3587601341917313,0.0259418108051875,0.5584511282236576
Supplementary Figure 10h (2),1,High NaCl,one-sided,-0.4990805519576541,1.2140650291519623,-0.1030651242100557,0.0313721890869271,0.1932244269357676,-0.4990805519576541,0.6376587536545026
Supplementary Figure 10h (2),1,Low NaCl,one-sided,-0.5876966024705476,1.1519078005290715,-0.1923366935666106,-0.0761039526130646,0.0663612197895353,-0.5803835636008297,0.4544080898237543
3c,1,High NaCl,one-sided,-0.3363278373846236,1.5962797568811404,0.2226339578132911,0.383098995262002,0.5567004550657642,-0.2784657880654185,1.0578002009444738
3c,1,Low NaCl,one-sided,-0.4176554456132345,1.617886750775446,-0.0077518290892552,0.1750441219123886,0.3831038988084533,-0.4176554456132345,0.9693874906550164
6g,51,High NaCl,one-sided,-0.8437104112331675,2.155917500740132,-0.03782824744801305,0.3512005500558141,0.7569790430863106,-0.8437104112331675,1.949189978887796
6g,51,Low NaCl,one-sided,-0.7102551221599066,2.0243189521552347,-0.19256399761895823,0.2627827274235882,0.7507556199125334,-0.7102551221599066,2.0243189521552347
